183	1340.88	441	2.37	3.04	1848.35	17.09%	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=29 	TakeProfit=13 	TrailStart=34 	TrailStop=15 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
190	1338.15	712	2.43	1.88	731.42	6.76%	Lots=0.01 	MultiLotsFactor=1.5 	StepLots=29 	TakeProfit=13 	TrailStart=46 	TrailStop=5 	MaxOpenOrders=20	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
79	1338.15	712	2.43	1.88	731.42	6.76%	Lots=0.01 	MultiLotsFactor=1.5 	StepLots=29 	TakeProfit=13 	TrailStart=42 	TrailStop=5 	MaxOpenOrders=20	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
17	1338.15	712	2.43	1.88	731.42	6.76%	Lots=0.01 	MultiLotsFactor=1.5 	StepLots=29 	TakeProfit=13 	TrailStart=60 	TrailStop=7 	MaxOpenOrders=20	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
126	1326.95	129	4.64	10.29	1848.29	17.88%	Lots=0.02 	MultiLotsFactor=1.6 	StepLots=29 	TakeProfit=37 	TrailStart=34 	TrailStop=15 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
5	1299.50	172	1.80	7.56	2770.62	22.27%	Lots=0.04 	MultiLotsFactor=1.2 	StepLots=29 	TakeProfit=34 	TrailStart=32 	TrailStop=5 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
204	1277.26	293	3.22	4.36	772.25	7.39%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=31 	TakeProfit=19 	TrailStart=46 	TrailStop=17 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
115	1277.26	293	3.22	4.36	772.25	7.39%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=31 	TakeProfit=19 	TrailStart=48 	TrailStop=5 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
193	1265.04	213	6.38	5.94	531.19	5.01%	Lots=0.01 	MultiLotsFactor=1.5 	StepLots=29 	TakeProfit=40 	TrailStart=48 	TrailStop=5 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
82	1251.68	262	2.70	4.78	1609.41	13.57%	Lots=0.02 	MultiLotsFactor=1.3 	StepLots=11 	TakeProfit=25 	TrailStart=32 	TrailStop=13 	MaxOpenOrders=6	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
84	1242.94	109	1.86	11.40	2674.25	22.07%	Lots=0.06 	MultiLotsFactor=1.1 	StepLots=21 	TakeProfit=40 	TrailStart=48 	TrailStop=7 	MaxOpenOrders=5	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
19	1239.39	229	1.75	5.41	1620.83	13.13%	Lots=0.04 	MultiLotsFactor=1.1 	StepLots=29 	TakeProfit=25 	TrailStart=52 	TrailStop=41 	MaxOpenOrders=7	SafeEquityRisk=0.5 	Slippage=3 	MagicNumber=2024536
